"","exper_init_var","exper_ssid_var","demand","feedb_awar_var","feedb_blef_var","video_awar_var","heard_awar_var","block.num","trial","anger","happy","hap","sat","enj","agg","irr","ann","dif"
"58","MAM",110,"neu",0,NA,0,0,2,"happ",0,1.66666666666667,2,1,2,0,0,0,1
"59","MAM",110,"neu",0,NA,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"60","MAM",110,"neu",0,NA,0,0,2,"neut",1,0,0,0,0,1,1,1,2
"61","MAM",111,"neu",0,0,0,0,1,"angr",0,2,2,2,2,0,0,0,2
"62","MAM",111,"neu",0,0,0,0,2,"angr",0.666666666666667,0,0,0,0,1,0,1,2
"63","MAM",111,"neu",0,0,0,0,1,"happ",0,4.66666666666667,5,4,5,0,0,0,1
"64","MAM",111,"neu",0,0,0,0,2,"happ",0,4.33333333333333,5,4,4,0,0,0,2
"65","MAM",111,"neu",0,0,0,0,1,"neut",0,2,2,2,2,0,0,0,1
"66","MAM",111,"neu",0,0,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"67","JOB",112,"neg",0,NA,0,0,1,"angr",1.33333333333333,0,0,0,0,0,2,2,2
"68","JOB",112,"neg",0,NA,0,0,2,"angr",0.666666666666667,0,0,0,0,0,1,1,2
"69","JOB",112,"neg",0,NA,0,0,1,"happ",0,0,0,0,0,0,0,0,1
"70","JOB",112,"neg",0,NA,0,0,2,"happ",0,0,0,0,0,0,0,0,1
"71","JOB",112,"neg",0,NA,0,0,1,"neut",0,0,0,0,0,0,0,0,1
"72","JOB",112,"neg",0,NA,0,0,2,"neut",0,0,0,0,0,0,0,0,1
"73","JOB",113,"pos",3,4,0,0,1,"angr",2,0,0,0,0,2,3,1,1
"74","JOB",113,"pos",3,4,0,0,2,"angr",3,0.666666666666667,0,0,2,3,3,3,3
"75","JOB",113,"pos",3,4,0,0,1,"happ",0,3.66666666666667,4,3,4,0,0,0,1
"76","JOB",113,"pos",3,4,0,0,2,"happ",0.333333333333333,4,5,3,4,1,0,0,1
"77","JOB",113,"pos",3,4,0,0,1,"neut",0,1.66666666666667,1,2,2,0,0,0,2
"78","JOB",113,"pos",3,4,0,0,2,"neut",1.33333333333333,0,0,0,0,0,2,2,3
"79","rev",114,"pos",1,4,0,0,1,"angr",4,0.333333333333333,0,1,0,4,3,5,1
"80","rev",114,"pos",1,4,0,0,2,"angr",4.33333333333333,0,0,0,0,4,5,4,1
"81","rev",114,"pos",1,4,0,0,1,"happ",0,5,5,6,4,0,0,0,1
"82","rev",114,"pos",1,4,0,0,2,"happ",0,5,5,5,5,0,0,0,1
"83","rev",114,"pos",1,4,0,0,1,"neut",0.333333333333333,0.333333333333333,0,1,0,0,1,0,1
"84","rev",114,"pos",1,4,0,0,2,"neut",0.333333333333333,0,0,0,0,0,1,0,1
"85","rev",115,"pos",1,3,0,0,1,"angr",3.33333333333333,1,1,1,1,3,3,4,4
"86","rev",115,"pos",1,3,0,0,2,"angr",3,1,1,1,1,2,4,3,5
"87","rev",115,"pos",1,3,0,0,1,"happ",1.33333333333333,3.66666666666667,4,3,4,2,1,1,2
"88","rev",115,"pos",1,3,0,0,2,"happ",0.666666666666667,4,4,4,4,1,0,1,4
"89","rev",115,"pos",1,3,0,0,1,"neut",1,2,2,2,2,1,1,1,2
"90","rev",115,"pos",1,3,0,0,2,"neut",1.33333333333333,0.333333333333333,0,0,1,2,1,1,3
"91","GEO",116,"pos",3,3,2,0,1,"angr",4,0,0,0,0,4,4,4,1
"92","GEO",116,"pos",3,3,2,0,2,"angr",4,0,0,0,0,4,4,4,1
"93","GEO",116,"pos",3,3,2,0,1,"happ",0,3,3,3,3,0,0,0,1
"94","GEO",116,"pos",3,3,2,0,2,"happ",0,3.66666666666667,4,3,4,0,0,0,1
"95","GEO",116,"pos",3,3,2,0,1,"neut",0,0.666666666666667,1,0,1,0,0,0,1
"96","GEO",116,"pos",3,3,2,0,2,"neut",0,0.333333333333333,1,0,0,0,0,0,1
"97","TKA",117,"neu",4,3,0,0,1,"angr",0,0.666666666666667,1,0,1,0,0,0,2
"98","TKA",117,"neu",4,3,0,0,2,"angr",0.333333333333333,0,0,0,0,0,0,1,2
"99","TKA",117,"neu",4,3,0,0,1,"happ",0,3,4,2,3,0,0,0,1
"100","TKA",117,"neu",4,3,0,0,2,"happ",0,2.66666666666667,4,1,3,0,0,0,1
